seller-sku	asin1	item-name	price	quantity	merchant-shipping-group
01020	B00KDIUZBS	Elixir Gardens ® 50mm x 9mt Anti hotspot-Polytunnel/Greenhouse Tape x 4	18.99	0	Default Amazon Template Surcharges
01022	B00KDIV0T4	Elixir Gardens ® 30mm x 9mt Anti hotspot-Polytunnel/Greenhouse Tape x 5	14.99	0	Default Amazon Template Surcharges
01023	B00KDIV1G6	Elixir Gardens ® 50mm x 9mt Anti hotspot-Polytunnel/Greenhouse Tape x 5	22.99	0	Default Amazon Template Surcharges
01032	B00IRCIVKO	Elixir Gardens ® 2.5mt x100mt POROUS WEED MEMBRANE GROUND COVER	95	0	Default Amazon Template Surcharges
01033	B00EQ7S3ZW	Elixir Gardens ® 2.5m x100m POROUS WEED MEMBRANE GROUND COVER + 100 pegs	97	0	Default Amazon Template Surcharges
01039	B00IRCJ2LG	Elixir Gardens ® 80lt Large Plant Pot Strong Plastic Pots With Side Handles x 10	104.99	0	Default Amazon Template Surcharges
01042	B00IRCJ5OK	Elixir Gardens ® 80lt Large Strong Plastic Pots With Side Hadles x 2	26.49	0	Default Amazon Template Surcharges
01043	B00IRCJ6NK	Elixir Gardens ® 90lt Large Plant Pot Strong Plastic Pots With Side Handles x 2	34.99	0	Default Amazon Template Surcharges
01047	B00IRCJF5E	Elixir Gardens ® 80lt Large Strong Plastic Pots With Side Hadles x3	35.99	0	Default Amazon Template Surcharges
01048	B00IRCJFW2	Elixir Gardens ® 90lt Large Plant Pot Strong Plastic Pots With Side Handles x 3	43.99	0	Default Amazon Template Surcharges
01052	B00IRCJJH8	Elixir Gardens ® 80lt Large Strong Plastic Pots With Side Hadles x 5	55.99	0	Default Amazon Template Surcharges
01053	B00IRCJKD6	Elixir Gardens ® 90lt Large Plant Pot Strong Plastic Pots With Side Handles x 5	62.99	0	Default Amazon Template Surcharges
01056	B00IRCJOQO	Elixir Gardens ® 80lt Large Plant Pot Strong Plastic Pots With Side Handles x 7	77.99	0	Default Amazon Template Surcharges
01057	B00IRCJPOK	Elixir Gardens ® 90lt Large Plant Pot Strong Plastic Pots With Side Handles x 7	86.99	0	Default Amazon Template Surcharges
01092	B00IRCKJ1S	Elixir Gardens ® 7.5" Extra Strong Red Stick in Angle Head Labels x 50	18.99	0	Default Amazon Template Surcharges
01216	B00IRC8B9A	Elixir Gardens ® 12 MT SOIL WARMING CABLE FOR MAKING PROPAGATORS/HEATED BEDS	25.99	0	Default Amazon Template Surcharges
01217	B00IRC8C3K	Elixir 12 MT SOIL WARMING CABLE + THERMOSTAT FOR MAKING PROPAGATORS/HEATED BEDS	45.99	0	Default Amazon Template Surcharges
